Date,Open,High,Low,Close,Volume
2020-09-22,429.6,437.76,417.6001,424.23,79580795
2020-09-21,453.13,455.68,407.07,449.39,109476800
2020-09-18,447.94,451.0,428.8,442.15,86406819
2020-09-17,415.6,437.79,408.0001,423.43,76779163
2020-09-16,439.87,457.79,435.31,441.76,72546760
2020-09-15,436.56,461.94,430.7,449.76,97298228
2020-09-14,380.95,420.0,373.3,419.62,83020608
2020-09-11,381.94,382.5,360.5,372.72,60717459
2020-09-10,386.21,398.99,360.56,371.34,84930608
2020-09-09,356.6,369.0,341.51,366.28,79465769
2020-09-08,356.0,368.74,329.88,330.21,115465691
2020-09-04,402.81,428.0,372.0201,418.32,110321885
2020-09-03,407.23,431.8,402.0,407.0,87596086
2020-09-02,478.99,479.04,405.1206,447.37,96176128
2020-09-01,502.14,502.49,470.51,475.05,90119419
2020-08-31,444.61,500.14,440.11,498.32,118374406
2020-08-28,459.02,463.7,437.3,442.68,100405880
2020-08-27,436.09,459.12,428.5,447.75,118465215
2020-08-26,412.0,433.2,410.73,430.63,71196910
2020-08-25,394.98,405.59,393.6,404.67,53294465
